code	url	product_name	brands_tags	stores	owner	labels_tags	nutriscore_score	nutriscore_grade	quantity	fat_100g	saturated_fat_100g	sugars_100g	proteins_100g	carbohydrates_100g	energy_100g	salt_100g	sodium_100g	computed_energy_100g	organic	level_salt	level_saturated_fat	level_sugars	level_fat	vegan	vegetarian	palm_oil
0285847033781	http://world-en.openfoodfacts.org/product/0285847033781/poulet-cuit-fume-pret-a-consommer-leader-price	Poulet Cuit Fumé Prêt à Consommer	leader-price	Franprix, Leader Price	NA	en:french-meat,en:french-poultry,en:green-dot,fr:origine-france	5	c	1,114 kg	11.2	3	1	20.4	1	771	1.43	0.572	778.2	f	m	m	l	m	f	f	f
2209629004910	http://world-en.openfoodfacts.org/product/2209629004910/poulet-cuit-fumer-l-etal-du-volailler	Poulet cuit fumér	l-etal-du-volailler	NA	NA	en:french-meat,en:french-poultry	-1	a	NA	9.6	2.8	0.9	20	1	711	0	0	712.2	f	l	m	l	m			
0266650053722	http://world-en.openfoodfacts.org/product/0266650053722/poulet-cuit-fume-sous-film	Poulet cuit  fumé sous film	NA	NA	NA	NA	11	d	NA	12	3.4	0.7	20	0.7	799	1.5	0.6	795.9	NA	m	m	l	m			
2167029005305	http://world-en.openfoodfacts.org/product/2167029005305/poulet-cuit-fume-sous-film	Poulet cuit fumé sous film	NA	NA	NA	NA	3	c	NA	9.3	2.6	0.5	21	0.5	711	1.1	0.44	709.6	NA	m	m	l	m	f	f	f
2209620004551	http://world-en.openfoodfacts.org/product/2209620004551/poulet-cuit-fume-traite-en-salaison	Poulet cuit fume traite en salaison	NA	NA	NA	en:french-meat,en:french-poultry	0	b	NA	0	0	0	0	0	0	0	0	0	f	l	l	l	l			
2209620005206	http://world-en.openfoodfacts.org/product/2209620005206/poulet-cuit-fume-traite-en-salaison	Poulet cuit fume traite en salaison	NA	NA	NA	en:french-meat,en:french-poultry	11	d	NA	12	3.4	0.7	20	0.7	799	1.5	0.6	795.9	f	m	m	l	m			
2209620006562	http://world-en.openfoodfacts.org/product/2209620006562/poulet-cuit-fume-traite-en-salaison	Poulet cuit fumé traité en salaison	NA	NA	NA	en:french-meat,en:french-poultry	11	d	NA	12	3.4	0.7	20	0.7	799	1.5	0.6	795.9	f	m	m	l	m			
2209620005381	http://world-en.openfoodfacts.org/product/2209620005381/poulet-cuit-fume-traite-en-salaison	Poulet Cuit Fumé Traité En Salaison	NA	NA	NA	NA	11	d	NA	12	3.4	0.7	20	0.7	787	1.5	0.6	795.9	NA	m	m	l	m			
2860050043697	http://world-en.openfoodfacts.org/product/2860050043697/poulet-cuit-fume-traitees-salaison	Poulet cuit fumé traitées salaison	NA	NA	NA	NA	4	c	NA	9.6	2.8	0.9	20	1	711	1.3	0.52	712.2	NA	m	m	l	m			
2860050038310	http://world-en.openfoodfacts.org/product/2860050038310/poulet-cuit-fune	Poulet cuit funé	NA	NA	NA	en:french-meat,en:french-poultry	4	c	NA	9.6	2.8	0.9	20	1	711	1.3	0.52	712.2	f	m	m	l	m			
0203075055177	http://world-en.openfoodfacts.org/product/0203075055177/poulet-cuit-roti-a-la-broche-casino	Poulet cuit roti a la broche	casino	Casino	NA	en:french-meat,en:french-poultry	3	c	NA	8.1	2.2	0	23	0	690	1.1	0.44	690.7	f	m	m	l	m	f	f	f
0203075058970	http://world-en.openfoodfacts.org/product/0203075058970/poulet-cuit-roti-a-la-broche	Poulet cuit roti à la broche	NA	NA	NA	NA	3	c	NA	8.1	2.2	0	23	0	690	1.1	0.44	690.7	NA	m	m	l	m			
0203075069532	http://world-en.openfoodfacts.org/product/0203075069532/poulet-cuit-roti-a-la-broche	Poulet cuit rôti à la broche	NA	Casino	NA	en:french-meat,en:french-poultry	3	c	NA	8.1	2.2	0	23	0	690	1.1	0.44	690.7	f	m	m	l	m			
0203075064223	http://world-en.openfoodfacts.org/product/0203075064223/poulet-cuit-roti-a-la-broche	Poulet cuit rôti à la broche	NA	Casino	NA	en:french-meat,en:french-poultry,en:green-dot	3	c	NA	8.1	2.2	0	23	0	690	1.1	0.44	690.7	f	m	m	l	m			
5400141995411	http://world-en.openfoodfacts.org/product/5400141995411/poulet-curry-colruyt	Poulet curry	colruyt	Colruyt	NA	en:green-dot	4	c	150 g	24	2.3	2.7	12	4.6	1188	1.1	0.44	1170.2	f	m	m	l	h	f	f	f
3250392171018	http://world-en.openfoodfacts.org/product/3250392171018/poulet-curry-monique-ranou	Poulet curry	monique-ranou	NA	org-intermarche	en:nutriscore,en:nutriscore-grade-d	14	d	200 g	36	3.2	2.1	7.2	5	1569	1.8	0.72	1539.4	f	h	m	l	h			
5425030790311	http://world-en.openfoodfacts.org/product/5425030790311/poulet-curry-tadal	Poulet curry	tadal	NA	NA	en:halal	3	c	150 g	24	2	2	11	5	1172	1	0.4	1160	f	m	m	l	h			
5410473035242	http://world-en.openfoodfacts.org/product/5410473035242/poulet-curry	Poulet curry	NA	NA	NA	en:green-dot	5	c	300 g	24.2	2.1	3.1	9.4	11.2	1167	1.2	0.48	1245.6	f	m	m	l	h			
5400101056244	http://world-en.openfoodfacts.org/product/5400101056244/poulet-curry-carrefour	Poulet Curry	carrefour	Carrefour	org-carrefour	NA	11	d	120 g	34	2.8	3.6	9.3	22	1473	1.3	0.52	1790.1	NA	m	m	l	h			
3366760032215	http://world-en.openfoodfacts.org/product/3366760032215/poulet-curry-aux-legumes-et-riz-parfume	Poulet curry aux legumes et riz parfumé	NA	NA	NA	NA	1	b	NA	2.6	0.4	1.9	7.8	16	418	1.1	0.44	500.8	NA	m	l	l	l			
3439496606989	http://world-en.openfoodfacts.org/product/3439496606989/poulet-curry-coco-metro-chef	Poulet curry coco	metro-chef	NA	NA	en:products-for-professional-use	1	b	1 kg	5.4	3.2	2	13.1	3.8	485	0.6	0.24	487.1	f	m	m	l	m			
3248830724995	http://world-en.openfoodfacts.org/product/3248830724995/poulet-curry-coco-marie	Poulet Curry Coco	marie	NA	NA	en:no-additives	3	c	NA	4.6	2.8	2.3	5.8	14.5	519	0.69	0.276	515.3	f	m	m	l	m			
3366760034042	http://world-en.openfoodfacts.org/product/3366760034042/poulet-curry-coco-et-riz-basmati-sans-marque	Poulet Curry Coco et riz basmati	sans-marque,agis	LIDL	NA	NA	1	b	300 g	5.7	3.1	1.6	8.5	16	628	0.51	0.204	627.4	NA	m	m	l	m	f	f	
5411153013710	http://world-en.openfoodfacts.org/product/5411153013710/poulet-curry-doux-avec-pomme-et-ananas-delio	Poulet Curry Doux avec pomme et ananas	delio	NA	NA	NA	13	d	NA	26	2.2	3.9	10.6	6.6	1264	1.9	0.76	1254.4	NA	h	m	l	h			
3596710452996	http://world-en.openfoodfacts.org/product/3596710452996/poulet-curry-et-ananas-riz-basmati-auchan	Poulet curry et ananas Riz Basmati	auchan	Auchan	org-auchan-apaw	en:low-or-no-fat,en:low-fat,en:no-preservatives,en:high-proteins,en:in-braille,en:no-artificial-colors,en:nutriscore,en:nutriscore-grade-a,fr:triman	-1	a	0.3 kg	2.2	1.1	2.6	8.4	14	475	0.56	0.224	462.2	f	m	l	l	l	f	f	f
3248830001270	http://world-en.openfoodfacts.org/product/3248830001270/poulet-curry-et-lait-de-coco-marie	Poulet curry et lait de coco	marie	Carrefour	NA	en:no-preservatives,en:no-additives,en:no-colorings,en:nutriscore,en:nutriscore-grade-b,fr:triman	1	b	300 g	5.9	2.9	0.8	6.9	18	649	0.57	0.228	641.6	f	m	m	l	m	f	f	f
5413110000443	http://world-en.openfoodfacts.org/product/5413110000443/poulet-curry-et-riz-isali	Poulet curry et riz	isali	NA	NA	NA	1	b	350 g	4	0.6	3.5	6.7	18.5	565	1.1	0.44	576.4	NA	m	l	l	m			
3248830845737	http://world-en.openfoodfacts.org/product/3248830845737/poulet-curry-et-riz-basmati-traditions-d-asie	Poulet Curry et Riz Basmati	traditions-d-asie,marie-s-a-s	Simply Market, Magasins U	NA	en:green-dot,en:made-in-france	4	c	280 g e	8.4	4.9	1.3	5.5	15	668	0.7	0.28	659.3	f	m	m	l	m	f	f	f
3560070921973	http://world-en.openfoodfacts.org/product/3560070921973/poulet-curry-petits-legumes-carrefour	Poulet curry & petits légumes	carrefour,cmi-carrefour-marchandises-internationales,groupe-carrefour	Carrefour, carrefour.fr	org-carrefour	en:distributor-labels,en:french-meat,en:no-preservatives,en:carrefour-quality,en:green-dot,en:made-in-france,en:no-colorings,fr:poulet-francais,fr:triman,fr:eco-emballages	0	b	400 g	4.6	1.5	2.2	8.2	4.3	389	0.87	0.348	382.7	f	m	m	l	m	f	f	f
5425010203015	http://world-en.openfoodfacts.org/product/5425010203015/poulet-curry-rouge-blue-elephant	Poulet curry rouge	blue-elephant	NA	NA	NA	0	b	NA	4	2.3	1.4	7.1	17	573	0.3	0.12	557.7	NA	m	m	l	m			
5413110013344	http://world-en.openfoodfacts.org/product/5413110013344/poulet-curry-rouge-et-riz-isali	Poulet curry rouge et riz	isali	carrefour.fr	NA	NA	5	c	350 g	7	3.2	1.1	6.2	21	711	0.7	0.28	721.4	NA	m	m	l	m	f	f	f
5413110013146	http://world-en.openfoodfacts.org/product/5413110013146/poulet-curry-rouge-huhnchen-mit-rotem-curry-isali	Poulet curry rouge, Hühnchen mit rotem Curry	isali	NA	NA	NA	6	c	400 g	10.5	4.4	3.2	7	12.4	728	1	0.4	718.3	NA	m	m	l	m	f	f	f
